date,open,high,low,close,volume
2013-04-08,41.0,42.0,41.0,42.0,5567
2013-04-09,42.0,42.0,41.0,41.0,6600
2013-04-10,42.0,43.0,41.0,41.0,190
2013-04-11,43.0,44.0,42.0,43.0,24700
2013-04-12,43.0,44.0,43.0,44.0,10093
2013-04-15,44.0,44.0,41.0,43.0,61315
2013-04-16,42.0,42.0,41.0,41.0,47040
2013-04-17,41.0,44.0,41.0,43.0,26695
2013-04-18,44.0,45.0,41.0,44.0,26184
2013-04-19,43.0,43.0,42.0,42.0,31067
2013-04-22,43.0,44.0,43.0,43.0,5700
2013-04-23,43.0,43.0,43.0,43.0,500
2013-04-24,42.0,43.0,42.0,42.0,4307
2013-04-25,42.0,43.0,41.0,41.0,5745
2013-04-26,44.0,44.0,42.0,42.0,2621
2013-04-29,43.0,44.0,43.0,43.0,3700
2013-04-30,44.0,44.0,41.0,41.0,30350
2013-05-01,41.0,41.0,41.0,41.0,0
2013-05-02,41.0,41.0,41.0,41.0,0
2013-05-03,41.0,41.0,41.0,41.0,24390
2013-05-06,40.0,41.0,40.0,40.0,4259
2013-05-07,40.0,41.0,38.0,41.0,23940
2013-05-08,38.0,41.0,38.0,41.0,1690
2013-05-09,39.0,40.0,39.0,40.0,2219
2013-05-10,39.0,40.0,37.0,40.0,27771
2013-05-13,40.0,40.0,39.0,39.0,2005
2013-05-14,40.0,40.0,38.0,39.0,6685
2013-05-15,38.0,40.0,37.0,40.0,7710
2013-05-16,38.0,38.0,38.0,38.0,2000
2013-05-17,39.0,39.0,39.0,39.0,100
2013-05-20,39.0,39.0,39.0,39.0,0
2013-05-21,39.0,39.0,39.0,39.0,0
2013-05-22,37.0,38.0,37.0,38.0,8768
2013-05-23,39.0,39.0,39.0,39.0,2300
2013-05-24,37.0,38.0,35.0,38.0,20279
2013-05-28,38.0,39.0,38.0,39.0,23900
2013-05-29,38.0,40.0,38.0,39.0,28693
2013-05-30,37.0,39.0,37.0,39.0,22134
2013-05-31,38.0,39.0,37.0,39.0,10363
2013-06-03,37.0,39.0,37.0,39.0,2543
2013-06-04,32.0,32.0,32.0,32.0,4400
2013-06-06,39.0,40.0,32.0,40.0,54030
2013-06-07,39.0,40.0,36.0,39.0,26215
2013-06-10,35.0,40.0,35.0,40.0,68821
2013-06-11,40.0,40.0,40.0,40.0,400
2013-06-12,39.0,40.0,37.0,37.0,4110
2013-06-13,39.0,40.0,37.0,37.0,10460
2013-06-14,39.0,39.0,38.0,38.0,5018
2013-06-17,39.0,39.0,37.0,37.0,7501
2013-06-18,38.0,38.0,32.0,37.0,6499
2013-06-19,36.0,37.0,32.0,33.0,28422
2013-06-20,32.0,34.0,30.0,32.0,29856
2013-06-21,30.0,30.0,29.0,30.0,6649
2013-06-24,30.0,30.0,27.0,28.0,6030
2013-06-25,29.0,30.0,25.0,25.0,19644
2013-06-26,24.0,30.0,23.0,29.0,60015
2013-06-27,29.0,34.0,26.0,28.0,116994
2013-06-28,26.0,29.0,25.0,25.0,87200
2013-07-01,25.0,26.0,23.0,26.0,43485
2013-07-02,24.0,24.0,23.0,24.0,30697
2013-07-03,22.0,24.0,21.0,21.0,29179
2013-07-05,21.0,22.0,21.0,22.0,4090
2013-07-08,22.0,24.0,22.0,23.0,19800
2013-07-09,23.0,24.0,23.0,24.0,510
2013-07-10,22.0,24.0,22.0,24.0,6919
2013-07-11,22.0,23.0,22.0,23.0,19557
2013-07-12,21.0,23.0,21.0,23.0,527
2013-07-15,23.0,23.0,23.0,23.0,0
2013-07-16,21.0,22.0,21.0,22.0,3000
2013-07-17,21.0,22.0,21.0,22.0,7140
2013-07-18,22.0,26.0,22.0,26.0,67494
2013-07-19,26.0,27.0,25.0,27.0,85518
2013-07-23,26.0,27.0,26.0,27.0,3300
2013-07-24,27.0,29.0,27.0,29.0,40310
2013-07-25,29.0,29.0,28.0,29.0,22185
2013-07-26,28.0,29.0,26.0,29.0,96709
2013-07-29,28.0,29.0,26.0,27.0,25989
2013-07-30,26.0,27.0,25.0,25.0,23920
2013-07-31,25.0,25.0,25.0,25.0,0
2013-08-01,24.0,25.0,24.0,25.0,4280
2013-08-02,24.0,24.0,24.0,24.0,1499
2013-08-05,25.0,25.0,22.0,24.0,112781
2013-08-06,23.0,24.0,22.0,23.0,23300
2013-08-07,23.0,23.0,23.0,23.0,48
2013-08-08,22.0,23.0,22.0,23.0,16500
2013-08-09,23.0,23.0,23.0,23.0,0
2013-08-12,22.0,23.0,22.0,23.0,7300
2013-08-13,22.0,22.0,19.0,21.0,53162
2013-08-14,20.0,21.0,20.0,21.0,2827
2013-08-15,21.0,21.0,21.0,21.0,2210
2013-08-16,20.0,21.0,20.0,21.0,3307
2013-08-19,21.0,21.0,21.0,21.0,0
2013-08-20,21.0,21.0,21.0,21.0,0
2013-08-21,21.0,21.0,21.0,21.0,0
2013-08-22,21.0,21.0,21.0,21.0,0
2013-08-23,20.0,21.0,20.0,21.0,2100
2013-08-26,19.0,20.0,19.0,20.0,6575
2013-08-27,20.0,21.0,19.0,21.0,8710
2013-08-28,21.0,22.0,21.0,22.0,4867
2013-08-29,22.0,24.0,22.0,22.0,37640
2013-08-30,20.0,23.0,20.0,23.0,1910
2013-09-03,21.0,21.0,21.0,21.0,0
2013-09-04,22.0,22.0,22.0,22.0,50
2013-09-05,22.0,23.0,22.0,23.0,9055
2013-09-06,21.0,21.0,21.0,21.0,1500
2013-09-09,21.0,22.0,20.0,22.0,9020
2013-09-10,22.0,26.0,22.0,26.0,109427
2013-09-11,25.0,25.0,23.0,25.0,9170
2013-09-12,23.0,23.0,23.0,23.0,41650
2013-09-13,22.0,23.0,21.0,21.0,85130
2013-09-16,23.0,23.0,20.0,21.0,63718
2013-09-17,20.0,21.0,19.0,20.0,25800
2013-09-18,20.0,21.0,20.0,21.0,23210
2013-09-19,20.0,20.0,19.0,20.0,19910
2013-09-20,20.0,21.0,19.0,20.0,45198
2013-09-23,20.0,20.0,19.0,20.0,5300
2013-09-24,19.0,20.0,19.0,19.0,18500
2013-09-25,20.0,20.0,20.0,20.0,20821
2013-09-26,20.0,20.0,20.0,20.0,8879
2013-09-27,19.0,21.0,19.0,20.0,3121
2013-09-30,21.0,24.0,21.0,24.0,119249
2013-10-01,28.0,28.0,24.0,26.0,231331
2013-10-02,24.0,25.0,24.0,25.0,19100
2013-10-03,25.0,25.0,23.0,25.0,18390
2013-10-04,24.0,25.0,22.0,22.0,24000
2013-10-07,23.0,24.0,22.0,23.0,21156
2013-10-08,23.0,23.0,21.0,22.0,15790
2013-10-09,22.0,22.0,22.0,22.0,100
2013-10-10,20.0,21.0,20.0,21.0,32542
2013-10-11,21.0,22.0,19.0,22.0,86890
2013-10-14,20.0,22.0,19.0,20.0,122200
2013-10-15,20.0,21.0,19.0,20.0,69870
2013-10-16,19.0,20.0,17.0,20.0,47476
2013-10-17,19.0,20.0,18.0,19.0,26700
2013-10-18,19.0,20.0,16.0,18.0,114726
2013-10-21,18.0,19.0,16.0,17.0,83922
2013-10-22,17.0,18.0,16.0,18.0,38095
2013-10-23,18.0,18.0,18.0,18.0,0
2013-10-24,17.0,17.0,17.0,17.0,4390
2013-10-25,16.0,18.0,14.0,14.0,577489
2013-10-28,15.0,15.0,14.0,14.0,77121
2013-10-29,15.0,15.0,15.0,15.0,297
2013-10-30,15.0,15.0,14.0,14.0,2000
2013-10-31,14.0,14.0,14.0,14.0,12120
2013-11-01,14.0,14.0,14.0,14.0,0
2013-11-04,14.0,15.0,13.0,14.0,66700
2013-11-05,13.0,15.0,12.0,15.0,94453
2013-11-06,15.0,16.0,14.0,16.0,36514
2013-11-07,15.0,16.0,13.0,14.0,124151
2013-11-08,14.0,15.0,13.0,14.0,22713
2013-11-11,15.0,15.0,13.0,13.0,105661
2013-11-12,13.0,15.0,13.0,15.0,229472
2013-11-13,16.0,18.0,15.0,18.0,429839
2013-11-14,17.0,18.0,16.0,18.0,81512
2013-11-15,16.0,18.0,16.0,17.0,84505
2013-11-18,17.0,17.0,16.0,16.0,31290
2013-11-19,17.0,17.0,15.0,15.0,56700
2013-11-20,16.0,17.0,15.0,15.0,21800
2013-11-21,15.0,16.0,15.0,16.0,1750
2013-11-22,17.0,17.0,15.0,17.0,21836
2013-11-25,16.0,17.0,15.0,16.0,116957
2013-11-26,15.0,17.0,15.0,17.0,22290
2013-11-27,16.0,17.0,15.0,17.0,14840
2013-11-29,16.0,16.0,14.0,15.0,144015
2013-12-02,14.0,16.0,13.0,15.0,51028
